Road_traffic_density,Festival,multiple_deliveries,Delivery_person_Ratings,Delivery_person_Age,City,Weatherconditions,Vehicle_condition,Type_of_vehicle,Time_taken(min)
High,No,1,4.9,37,Metropolitian,Cloudy,0,motorcycle,33
Low,No,1,4.9,25,Metropolitian,Sandstorms,2,scooter,17
Jam,No,1,4.9,28,Metropolitian,Stormy,2,scooter,20
Low,No,1,4.8,26,Metropolitian,Sandstorms,1,scooter,14
Jam,No,1,4.3,20,Metropolitian,Cloudy,1,scooter,37
High,No,1,4.0,28,Metropolitian,Cloudy,1,scooter,34
Jam,No,1,4.3,36,Urban,Stormy,1,motorcycle,31
Low,No,1,4.6,37,Metropolitian,Sunny,1,scooter,25
Low,No,1,4.8,28,Urban,Fog,2,electric_scooter,28
High,No,1,4.7,39,Metropolitian,Sunny,2,scooter,19
Low,No,1,4.9,33,Metropolitian,Cloudy,0,motorcycle,24
Medium,No,1,4.6,34,Metropolitian,Cloudy,1,motorcycle,33
Low,No,1,5.0,26,Metropolitian,Sandstorms,2,scooter,17
Medium,No,0,4.6,29,Metropolitian,Windy,1,motorcycle,24
Low,No,1,4.8,26,Metropolitian,Windy,1,motorcycle,10
Low,No,1,4.7,33,Metropolitian,Stormy,1,motorcycle,29
Low,No,1,4.9,34,Metropolitian,Sunny,2,scooter,25
Jam,Yes,2,3.5,32,Urban,Windy,2,motorcycle,44
Jam,No,1,4.7,21,Metropolitian,Sunny,0,motorcycle,30
Jam,No,1,4.4,38,Metropolitian,Windy,0,motorcycle,38
Medium,No,0,5.0,28,Metropolitian,Sandstorms,1,motorcycle,25
Jam,No,0,4.8,20,Metropolitian,Fog,2,motorcycle,35
Medium,No,1,4.7,36,Urban,Sunny,0,motorcycle,28
Low,No,0,4.6,36,Metropolitian,Stormy,1,scooter,24
Low,No,0,4.8,32,Metropolitian,Stormy,2,scooter,28
Low,No,0,4.3,38,Urban,Sandstorms,0,motorcycle,21
Low,No,1,2.9,25,Urban,Sunny,2,electric_scooter,31
Jam,No,0,4.9,28,Metropolitian,Stormy,1,motorcycle,13
Jam,No,1,4.6,24,Metropolitian,Fog,2,motorcycle,27
High,No,1,4.7,24,Urban,Sandstorms,1,scooter,22
Medium,No,1,4.8,30,Metropolitian,Windy,2,motorcycle,30
Low,No,1,4.1,38,Metropolitian,Stormy,0,motorcycle,26
Medium,No,1,4.6,37,Metropolitian,Sunny,2,electric_scooter,19
Jam,No,1,4.2,24,Metropolitian,Stormy,0,motorcycle,39
Jam,No,2,4.8,38,Metropolitian,Fog,2,motorcycle,36
Low,No,1,4.8,32,Metropolitian,Windy,0,motorcycle,26
High,No,1,4.6,20,Metropolitian,Stormy,2,electric_scooter,25
Low,No,1,3.3,34,Metropolitian,Sunny,0,motorcycle,34
Low,No,0,4.5,32,Metropolitian,Stormy,0,motorcycle,24
Low,No,0,4.4,38,Metropolitian,Stormy,0,motorcycle,25
Low,No,0,4.8,20,Metropolitian,Stormy,2,scooter,17
Jam,No,1,4.5,25,Urban,Fog,1,scooter,30
Medium,No,0,5.0,37,Metropolitian,Sunny,2,scooter,24
Jam,No,1,4.7,37,Metropolitian,Fog,2,scooter,32
Medium,No,2,4.2,39,Urban,Sunny,0,motorcycle,36
Low,No,1,4.8,27,Metropolitian,Fog,1,scooter,18
Medium,No,1,5.0,32,Metropolitian,Cloudy,2,scooter,15
Low,No,1,4.6,24,Metropolitian,Stormy,0,motorcycle,22
Low,No,1,4.6,20,Metropolitian,Sandstorms,1,motorcycle,19
Medium,No,1,4.7,21,Metropolitian,Stormy,2,scooter,16
Low,No,1,4.9,31,Metropolitian,Cloudy,0,motorcycle,23
Jam,No,0,4.5,22,Metropolitian,Stormy,1,scooter,13
Low,No,1,5.0,33,Metropolitian,Sunny,0,motorcycle,25
Low,No,0,4.6,26,Metropolitian,Sunny,0,motorcycle,19
Medium,No,1,4.8,31,Metropolitian,Sunny,1,motorcycle,21
Low,No,1,4.7,32,Metropolitian,Fog,0,motorcycle,26
Jam,No,0,4.9,22,Metropolitian,Sandstorms,2,motorcycle,25
Low,No,1,5.0,21,Metropolitian,Cloudy,1,scooter,22
Low,No,0,4.9,29,Metropolitian,Windy,2,electric_scooter,14
Jam,No,1,4.0,37,Metropolitian,Cloudy,1,motorcycle,38
Medium,No,1,4.2,36,Metropolitian,Fog,2,scooter,42
Low,No,0,4.7,24,Metropolitian,Sunny,1,scooter,16
Low,No,1,4.5,28,Metropolitian,Cloudy,1,motorcycle,25
Jam,No,1,4.9,30,Metropolitian,Sunny,0,motorcycle,25
Jam,No,1,5.0,22,Metropolitian,Fog,2,scooter,33
Medium,No,0,4.5,34,Metropolitian,Fog,1,motorcycle,16
Jam,No,1,4.7,28,Metropolitian,Windy,1,motorcycle,24
Low,No,1,4.9,36,Urban,Sandstorms,2,scooter,23
Medium,No,0,4.6,20,Metropolitian,Windy,0,motorcycle,21
Low,No,1,4.3,23,Metropolitian,Sandstorms,0,motorcycle,23
Medium,No,1,5.0,27,Metropolitian,Cloudy,1,scooter,38
Low,No,1,4.6,27,Metropolitian,Stormy,2,scooter,16
High,No,1,4.7,33,Urban,Windy,2,scooter,30
Jam,Yes,2,4.5,24,Metropolitian,Fog,0,motorcycle,49
Low,No,1,4.9,25,Metropolitian,Fog,2,scooter,23
Low,No,1,4.8,28,Metropolitian,Sunny,2,scooter,15
Jam,No,2,4.2,29,Metropolitian,Sandstorms,0,motorcycle,38
Low,No,0,4.5,34,Urban,Sandstorms,0,motorcycle,24
Jam,No,0,4.7,26,Metropolitian,Sunny,2,scooter,10
Medium,No,0,4.4,31,Metropolitian,Fog,2,electric_scooter,37
Jam,No,2,4.6,29,Metropolitian,Cloudy,1,motorcycle,35
Jam,No,2,5.0,31,Metropolitian,Cloudy,0,motorcycle,32
Jam,Yes,1,4.8,35,Metropolitian,Stormy,0,motorcycle,47
Low,No,0,4.5,23,Urban,Sunny,0,motorcycle,17
Medium,No,1,4.5,27,Metropolitian,Fog,0,motorcycle,25
Low,No,1,4.8,34,Urban,Stormy,2,scooter,25
Low,No,0,4.8,31,Metropolitian,Cloudy,0,motorcycle,38
Jam,No,1,4.7,35,Urban,Cloudy,1,motorcycle,45
Low,No,0,4.2,36,Metropolitian,Cloudy,2,electric_scooter,33
Jam,No,2,4.2,25,Metropolitian,Fog,2,motorcycle,34
Medium,No,1,3.7,33,Metropolitian,Windy,2,electric_scooter,31
High,No,3,3.7,20,Metropolitian,Sunny,0,motorcycle,46
Medium,No,1,4.6,33,Metropolitian,Fog,1,motorcycle,37
Low,No,1,4.7,34,Urban,Sunny,0,motorcycle,22
Low,No,1,4.7,29,Metropolitian,Sandstorms,0,motorcycle,24
Medium,No,0,4.8,25,Metropolitian,Windy,2,electric_scooter,21
Low,No,0,4.7,35,Metropolitian,Stormy,0,motorcycle,23
Low,No,0,4.6,24,Urban,Sandstorms,0,motorcycle,21
Jam,No,1,4.8,32,Metropolitian,Sunny,0,motorcycle,29
Low,No,0,3.7,30,Metropolitian,Cloudy,2,scooter,33
Jam,No,0,4.3,29,Metropolitian,Windy,0,motorcycle,35
Jam,No,0,4.7,34,Metropolitian,Cloudy,0,motorcycle,43
Medium,No,1,4.5,27,Urban,Sandstorms,0,motorcycle,26
Jam,No,1,4.6,21,Metropolitian,Stormy,2,scooter,20
Medium,No,1,4.8,33,Metropolitian,Fog,0,motorcycle,34
High,No,2,4.1,33,Metropolitian,Fog,1,motorcycle,39
Low,No,0,4.6,21,Metropolitian,Windy,1,scooter,13
Jam,No,0,4.9,29,Metropolitian,Fog,2,scooter,30
Medium,No,1,4.8,32,Metropolitian,Fog,2,scooter,39
Medium,No,0,4.6,31,Metropolitian,Windy,1,motorcycle,25
Low,No,1,4.9,29,Urban,Fog,0,motorcycle,18
Medium,No,1,4.6,29,Urban,Sunny,1,scooter,14
Low,No,1,4.8,26,Metropolitian,Stormy,2,electric_scooter,16
Jam,Yes,1,4.6,35,Metropolitian,Sandstorms,0,motorcycle,47
Low,No,1,4.8,39,Metropolitian,Stormy,2,scooter,26
Low,No,0,4.9,22,Urban,Stormy,0,motorcycle,20
Low,No,1,4.8,38,Metropolitian,Sandstorms,0,motorcycle,26
Low,No,0,4.6,32,Metropolitian,Stormy,1,motorcycle,20
Jam,No,1,4.6,39,Urban,Sunny,0,motorcycle,20
Low,No,1,4.6,26,Metropolitian,Stormy,1,motorcycle,18
Jam,No,0,4.8,32,Urban,Sunny,2,electric_scooter,19
Medium,No,1,4.6,23,Metropolitian,Windy,2,motorcycle,23
Jam,No,0,4.7,36,Metropolitian,Stormy,2,electric_scooter,29
High,No,1,4.6,29,Metropolitian,Cloudy,1,motorcycle,23
Low,No,0,4.6,33,Metropolitian,Sandstorms,2,scooter,24
Jam,No,0,5.0,21,Metropolitian,Stormy,2,scooter,21
Medium,No,1,4.6,30,Metropolitian,Windy,0,motorcycle,37
Low,No,1,4.8,38,Metropolitian,Fog,1,motorcycle,19
Medium,No,1,4.7,36,Metropolitian,Fog,2,electric_scooter,17
High,No,0,4.6,28,Metropolitian,Stormy,0,motorcycle,33
High,No,1,4.6,30,Metropolitian,Sunny,1,scooter,19
Jam,No,2,4.4,35,Metropolitian,Cloudy,1,motorcycle,36
Jam,No,1,4.9,32,Metropolitian,Sandstorms,1,scooter,29
Jam,No,2,4.7,20,Metropolitian,Fog,1,motorcycle,36
Low,No,0,4.6,35,Urban,Stormy,2,electric_scooter,15
Jam,No,1,4.8,25,Metropolitian,Cloudy,2,motorcycle,30
Low,No,1,4.7,37,Metropolitian,Sandstorms,1,scooter,23
Jam,No,1,3.9,33,Metropolitian,Windy,1,scooter,32
Jam,No,1,4.8,35,Metropolitian,Windy,1,scooter,27
High,No,1,4.9,27,Metropolitian,Cloudy,1,scooter,27
Medium,No,1,4.6,36,Metropolitian,Windy,0,motorcycle,36
Low,No,0,4.6,38,Metropolitian,Fog,0,motorcycle,26
High,No,1,4.6,32,Metropolitian,Sandstorms,1,motorcycle,25
Low,No,1,4.9,32,Metropolitian,Fog,0,motorcycle,20
Jam,No,1,4.7,36,Metropolitian,Windy,0,motorcycle,52
Jam,No,1,4.6,23,Metropolitian,Windy,0,motorcycle,30
Medium,No,0,4.8,27,Urban,Sunny,1,motorcycle,11
Jam,No,1,4.6,29,Metropolitian,Windy,1,motorcycle,27
Jam,No,0,4.9,35,Metropolitian,Stormy,1,scooter,32
Medium,No,1,4.5,32,Metropolitian,Stormy,1,motorcycle,29
Low,No,1,4.8,22,Urban,Windy,2,scooter,13
Jam,No,1,4.4,21,Metropolitian,Fog,2,electric_scooter,38
Jam,No,1,4.5,38,Metropolitian,Stormy,0,motorcycle,30
Medium,No,1,4.9,32,Metropolitian,Sandstorms,1,scooter,30
Jam,No,0,4.6,29,Metropolitian,Fog,1,motorcycle,24
Low,No,0,4.7,26,Metropolitian,Fog,1,scooter,18
Medium,No,1,4.2,34,Metropolitian,Stormy,0,motorcycle,37
Low,No,1,4.3,38,Metropolitian,Stormy,0,motorcycle,22
Jam,No,1,4.7,34,Metropolitian,Fog,2,motorcycle,37
Medium,No,0,4.6,33,Metropolitian,Fog,2,scooter,19
Jam,No,1,4.2,24,Urban,Fog,1,motorcycle,33
Jam,No,1,4.9,24,Metropolitian,Sandstorms,0,motorcycle,28
Medium,No,0,4.7,21,Metropolitian,Sunny,0,motorcycle,29
Low,No,1,4.8,33,Metropolitian,Cloudy,2,motorcycle,19
Low,No,0,5.0,38,Urban,Stormy,0,motorcycle,21
Low,No,0,4.7,25,Metropolitian,Sunny,1,scooter,22
Medium,No,1,4.7,35,Metropolitian,Sunny,1,motorcycle,15
Medium,No,1,4.8,22,Metropolitian,Windy,2,scooter,21
Medium,No,1,4.9,28,Urban,Fog,2,electric_scooter,17
Medium,No,1,4.9,39,Metropolitian,Windy,1,scooter,27
Jam,No,0,4.5,29,Metropolitian,Sunny,2,electric_scooter,11
Low,No,0,4.6,34,Metropolitian,Fog,0,motorcycle,24
Low,No,2,4.0,35,Metropolitian,Fog,0,motorcycle,43
Medium,No,1,4.3,38,Metropolitian,Stormy,2,scooter,33
Medium,No,1,4.6,21,Metropolitian,Sunny,0,motorcycle,26
Low,No,0,5.0,25,Urban,Cloudy,1,motorcycle,12
Medium,No,1,5.0,26,Urban,Fog,2,electric_scooter,32
Medium,No,0,5.0,30,Urban,Windy,0,motorcycle,30
Jam,No,1,4.5,33,Metropolitian,Cloudy,1,scooter,29
Low,No,0,4.9,28,Urban,Cloudy,0,motorcycle,21
High,No,0,4.4,31,Metropolitian,Windy,0,motorcycle,32
Low,No,0,4.6,32,Metropolitian,Windy,2,scooter,24
Low,No,0,4.7,32,Metropolitian,Sunny,0,motorcycle,27
Low,No,0,4.7,24,Metropolitian,Sunny,2,scooter,19
Low,No,0,4.5,26,Metropolitian,Windy,1,motorcycle,12
Jam,No,1,4.5,22,Metropolitian,Sunny,2,electric_scooter,19
High,No,1,4.2,37,Urban,Sandstorms,0,motorcycle,43
Low,No,0,4.6,29,Metropolitian,Cloudy,1,motorcycle,15
Jam,No,0,4.2,32,Metropolitian,Fog,1,motorcycle,39
Jam,No,1,4.9,31,Urban,Windy,1,motorcycle,27
Medium,No,1,4.5,38,Metropolitian,Fog,0,motorcycle,30
Jam,No,0,4.8,26,Metropolitian,Sunny,0,motorcycle,24
Low,No,1,4.7,35,Metropolitian,Fog,0,motorcycle,21
Low,No,1,4.7,24,Urban,Cloudy,1,scooter,13
Low,No,1,4.9,39,Metropolitian,Stormy,1,motorcycle,23
Medium,No,1,4.8,36,Metropolitian,Fog,2,motorcycle,43
Medium,No,1,4.9,24,Metropolitian,Cloudy,0,motorcycle,35
Medium,No,2,5.0,36,Metropolitian,Sandstorms,0,motorcycle,34
Medium,No,0,4.7,38,Metropolitian,Sandstorms,2,motorcycle,30
Medium,No,0,5.0,26,Metropolitian,Stormy,1,scooter,26
Jam,No,1,4.9,20,Metropolitian,Sunny,1,scooter,19
Medium,No,1,4.7,26,Urban,Fog,2,scooter,27
Jam,No,0,4.7,30,Metropolitian,Sunny,2,electric_scooter,22
Low,No,1,4.8,25,Metropolitian,Fog,1,motorcycle,21
Jam,No,1,4.8,33,Metropolitian,Fog,0,motorcycle,27
Low,No,0,4.8,24,Urban,Stormy,1,scooter,11
Low,No,0,4.9,20,Metropolitian,Sandstorms,1,motorcycle,16
Low,No,1,4.5,21,Metropolitian,Windy,0,motorcycle,19
Jam,No,0,4.6,23,Metropolitian,Stormy,2,scooter,28
Jam,No,1,4.8,21,Urban,Sunny,1,scooter,12
Medium,No,0,4.6,39,Urban,Sandstorms,1,motorcycle,30
Low,No,1,4.7,37,Metropolitian,Stormy,1,scooter,24
High,No,1,4.3,22,Metropolitian,Fog,1,scooter,31
Jam,No,0,4.6,21,Metropolitian,Sunny,0,motorcycle,24
Low,No,0,4.8,28,Urban,Cloudy,0,motorcycle,20
Medium,No,0,4.9,23,Urban,Sunny,2,scooter,17
Low,No,0,4.7,33,Metropolitian,Cloudy,1,motorcycle,18
Jam,No,1,4.6,24,Metropolitian,Fog,1,motorcycle,38
Low,No,0,4.9,26,Urban,Sandstorms,1,motorcycle,12
Jam,No,0,3.8,34,Metropolitian,Windy,2,scooter,44
Low,No,1,4.7,30,Urban,Sunny,2,scooter,15
Jam,No,1,4.4,37,Metropolitian,Stormy,0,motorcycle,40
Medium,No,1,4.0,33,Metropolitian,Sandstorms,0,motorcycle,37
Medium,No,0,4.8,25,Urban,Stormy,2,motorcycle,22
Medium,No,0,4.8,26,Urban,Sandstorms,2,electric_scooter,22
Low,No,0,4.9,29,Metropolitian,Stormy,1,motorcycle,17
Low,No,1,4.8,29,Urban,Stormy,1,scooter,14
Medium,No,0,4.8,23,Metropolitian,Windy,2,motorcycle,25
Medium,No,0,4.6,23,Metropolitian,Sandstorms,2,motorcycle,22
Jam,No,1,4.6,23,Urban,Stormy,1,motorcycle,15
Low,No,1,4.6,25,Metropolitian,Stormy,2,electric_scooter,18
Medium,No,0,4.0,34,Metropolitian,Sandstorms,0,motorcycle,42
Low,No,0,4.6,25,Metropolitian,Sandstorms,2,scooter,18
Medium,No,1,5.0,25,Urban,Cloudy,0,motorcycle,24
Medium,No,0,4.5,27,Metropolitian,Cloudy,2,electric_scooter,14
Medium,No,1,4.8,27,Metropolitian,Fog,1,scooter,39
Jam,No,1,4.9,21,Metropolitian,Stormy,0,motorcycle,34
Medium,No,1,4.5,39,Metropolitian,Fog,0,motorcycle,27
Low,No,0,4.8,37,Metropolitian,Cloudy,1,motorcycle,16
Medium,No,1,5.0,20,Metropolitian,Fog,1,motorcycle,35
Low,No,1,4.6,22,Metropolitian,Fog,2,electric_scooter,19
Low,No,1,4.9,31,Metropolitian,Stormy,0,motorcycle,23
Jam,No,1,4.8,22,Metropolitian,Stormy,2,scooter,24
Low,No,0,4.6,28,Metropolitian,Sandstorms,1,scooter,15
Jam,No,1,4.6,32,Urban,Fog,2,electric_scooter,35
Medium,No,1,4.5,38,Urban,Windy,2,motorcycle,28
Jam,No,1,4.1,28,Metropolitian,Fog,2,scooter,32
Jam,No,1,4.8,37,Metropolitian,Fog,1,scooter,30
Medium,No,1,5.0,35,Metropolitian,Fog,1,motorcycle,35
Low,No,1,4.8,34,Urban,Sunny,1,motorcycle,10
Jam,No,0,4.6,28,Metropolitian,Sandstorms,2,scooter,27
Jam,No,1,4.7,21,Urban,Cloudy,0,motorcycle,45
Low,No,0,4.9,21,Metropolitian,Cloudy,0,motorcycle,15
Jam,No,0,4.7,25,Urban,Stormy,2,electric_scooter,23
Low,No,1,4.8,24,Urban,Windy,0,motorcycle,18
Jam,No,3,4.8,24,Metropolitian,Cloudy,0,motorcycle,48
Low,No,1,4.7,24,Urban,Sandstorms,1,motorcycle,19
Medium,Yes,1,4.8,21,Metropolitian,Cloudy,0,motorcycle,39
Low,No,0,4.6,28,Urban,Cloudy,2,scooter,15
Medium,No,0,4.6,33,Metropolitian,Sunny,0,motorcycle,28
Low,No,0,4.8,38,Urban,Stormy,2,electric_scooter,22
Low,No,1,4.9,23,Metropolitian,Sandstorms,2,motorcycle,17
Jam,No,1,4.7,30,Metropolitian,Fog,2,motorcycle,31
Jam,No,1,4.9,34,Metropolitian,Windy,2,scooter,26
Medium,No,1,4.7,34,Metropolitian,Fog,2,scooter,34
Jam,No,0,5.0,23,Metropolitian,Fog,1,scooter,43
Jam,No,0,4.5,22,Metropolitian,Fog,1,scooter,25
Low,No,0,4.3,26,Urban,Stormy,0,motorcycle,19
Low,No,1,4.9,36,Metropolitian,Sunny,1,scooter,24
Low,No,0,5.0,28,Metropolitian,Sunny,1,scooter,24
Medium,No,0,4.1,39,Metropolitian,Windy,1,scooter,38
Low,No,0,4.9,22,Urban,Sandstorms,1,scooter,12
Jam,No,1,4.7,39,Metropolitian,Stormy,2,motorcycle,28
Low,No,1,4.6,38,Urban,Cloudy,2,scooter,17
Medium,No,0,5.0,35,Metropolitian,Windy,2,scooter,22
High,No,1,4.5,36,Urban,Windy,2,scooter,30
Medium,No,0,4.9,32,Metropolitian,Stormy,1,motorcycle,33
Jam,No,1,4.7,25,Metropolitian,Stormy,1,motorcycle,20
Jam,No,0,5.0,34,Urban,Cloudy,0,motorcycle,30
Jam,No,2,4.7,31,Semi-Urban,Cloudy,0,motorcycle,50
Medium,No,1,4.7,26,Urban,Sunny,0,motorcycle,15
Low,No,1,4.9,23,Urban,Cloudy,1,motorcycle,14
Low,No,1,4.7,39,Urban,Cloudy,1,scooter,19
Low,No,1,4.8,36,Metropolitian,Sandstorms,2,scooter,21
Medium,No,1,4.6,37,Metropolitian,Sandstorms,0,motorcycle,34
Low,No,1,4.9,29,Urban,Sunny,0,motorcycle,16
Jam,No,0,4.8,32,Metropolitian,Sunny,1,motorcycle,23
Jam,No,1,4.2,26,Metropolitian,Fog,2,scooter,44
Medium,No,1,4.3,27,Metropolitian,Windy,0,motorcycle,32
Low,No,1,4.3,22,Metropolitian,Windy,0,motorcycle,25
High,No,1,4.1,36,Metropolitian,Sandstorms,0,motorcycle,32
Jam,No,1,4.6,23,Metropolitian,Fog,0,motorcycle,26
Low,No,0,4.7,38,Metropolitian,Sunny,1,motorcycle,24
Low,No,1,4.6,24,Urban,Fog,1,scooter,12
Jam,No,1,4.7,24,Metropolitian,Windy,2,scooter,16
Low,No,0,4.7,22,Metropolitian,Sandstorms,2,electric_scooter,19
Low,No,0,4.6,27,Metropolitian,Stormy,1,scooter,15
Jam,Yes,0,4.3,24,Metropolitian,Fog,2,scooter,41
Jam,No,0,4.8,22,Metropolitian,Sunny,2,scooter,23
High,No,1,4.7,23,Metropolitian,Fog,2,electric_scooter,25
Jam,No,1,4.5,23,Metropolitian,Stormy,1,scooter,19
Jam,Yes,1,5.0,35,Urban,Fog,1,motorcycle,47
Low,No,1,4.6,31,Metropolitian,Fog,2,motorcycle,16
Low,No,1,5.0,23,Metropolitian,Fog,1,scooter,14
Low,No,1,5.0,35,Metropolitian,Sandstorms,2,motorcycle,24
Medium,No,1,4.9,22,Metropolitian,Sandstorms,2,scooter,24
Low,No,0,5.0,31,Metropolitian,Cloudy,2,scooter,18
High,No,0,4.7,36,Metropolitian,Sunny,1,scooter,22
Low,No,0,4.6,38,Urban,Sunny,0,motorcycle,22
Jam,No,0,4.7,20,Metropolitian,Fog,1,scooter,25
Medium,No,1,4.7,37,Metropolitian,Sunny,2,scooter,18
High,No,1,4.9,23,Metropolitian,Windy,2,motorcycle,29
Jam,No,1,3.7,32,Metropolitian,Sandstorms,2,motorcycle,42
Low,No,1,4.8,33,Urban,Sandstorms,2,motorcycle,22
Jam,No,0,4.8,29,Metropolitian,Windy,2,scooter,28
Jam,No,1,4.5,29,Metropolitian,Cloudy,2,scooter,30
Low,No,0,4.6,28,Metropolitian,Windy,1,scooter,15
Jam,No,1,5.0,34,Urban,Fog,2,scooter,40
Jam,No,0,5.0,20,Metropolitian,Sunny,2,scooter,10
Low,No,1,4.6,29,Metropolitian,Sandstorms,2,electric_scooter,18
Jam,No,1,5.0,39,Urban,Windy,0,motorcycle,43
Low,No,1,4.6,37,Metropolitian,Cloudy,0,motorcycle,25
Low,No,0,4.6,29,Metropolitian,Cloudy,2,motorcycle,14
Low,No,2,4.1,32,Urban,Cloudy,2,scooter,34
Medium,No,0,4.5,27,Metropolitian,Windy,2,electric_scooter,23
Low,No,1,4.9,24,Urban,Sandstorms,1,motorcycle,19
Jam,No,0,4.8,21,Metropolitian,Windy,2,motorcycle,28
Medium,No,2,4.6,28,Urban,Fog,0,motorcycle,44
Jam,No,3,4.1,38,Metropolitian,Cloudy,2,motorcycle,49
Low,No,0,4.3,26,Metropolitian,Stormy,0,motorcycle,24
Medium,No,0,5.0,21,Urban,Sunny,2,scooter,13
Jam,No,0,4.9,38,Metropolitian,Fog,0,motorcycle,42
Low,No,0,4.8,34,Metropolitian,Stormy,0,motorcycle,23
Medium,No,2,5.0,36,Metropolitian,Cloudy,0,motorcycle,45
Low,No,0,4.6,27,Metropolitian,Fog,1,scooter,13
Low,No,1,4.6,32,Urban,Fog,0,motorcycle,24
High,No,1,5.0,36,Metropolitian,Cloudy,1,scooter,25
High,No,1,4.9,27,Metropolitian,Sunny,1,motorcycle,18
Low,No,1,4.8,20,Metropolitian,Sunny,2,scooter,17
Jam,No,1,3.8,30,Metropolitian,Windy,1,motorcycle,38
Medium,No,1,4.1,36,Metropolitian,Fog,1,scooter,41
Medium,No,0,4.6,28,Metropolitian,Sandstorms,2,motorcycle,23
High,No,0,4.7,25,Metropolitian,Sunny,1,scooter,10
Medium,No,2,4.7,39,Metropolitian,Sandstorms,0,motorcycle,49
Jam,No,1,4.1,22,Urban,Stormy,0,motorcycle,36
Jam,No,1,4.6,21,Metropolitian,Sandstorms,1,motorcycle,15
High,No,1,4.0,35,Urban,Cloudy,0,motorcycle,34
Low,No,1,4.7,31,Metropolitian,Sandstorms,0,motorcycle,26
Medium,No,1,4.6,22,Metropolitian,Windy,1,motorcycle,25
Low,No,1,4.6,35,Metropolitian,Sandstorms,2,motorcycle,24
High,No,0,5.0,33,Metropolitian,Fog,0,motorcycle,27
Low,No,0,4.7,22,Metropolitian,Sunny,0,motorcycle,20
Jam,No,1,3.6,35,Metropolitian,Sunny,2,motorcycle,31
Low,No,0,4.6,29,Urban,Cloudy,0,motorcycle,16
Jam,No,1,5.0,32,Urban,Sunny,1,scooter,15
Jam,No,0,5.0,33,Metropolitian,Cloudy,1,motorcycle,28
Low,No,1,4.6,20,Metropolitian,Cloudy,0,motorcycle,23
Medium,No,1,4.6,26,Urban,Windy,1,motorcycle,26
Jam,No,1,5.0,38,Metropolitian,Sandstorms,2,scooter,32
Low,No,1,5.0,24,Metropolitian,Cloudy,2,electric_scooter,25
Jam,No,1,4.9,29,Urban,Windy,1,scooter,20
Jam,No,2,4.9,20,Metropolitian,Fog,1,scooter,38
Low,No,1,4.8,38,Metropolitian,Stormy,2,electric_scooter,24
Low,No,1,4.8,38,Metropolitian,Stormy,2,motorcycle,26
Jam,No,0,4.5,33,Metropolitian,Sunny,1,motorcycle,15
Low,No,0,4.9,27,Metropolitian,Windy,1,motorcycle,12
Low,No,0,4.8,37,Metropolitian,Fog,1,scooter,17
Medium,No,1,4.9,26,Metropolitian,Stormy,0,motorcycle,27
Low,No,1,4.3,37,Metropolitian,Sandstorms,0,motorcycle,34
Medium,No,2,4.4,31,Metropolitian,Stormy,0,motorcycle,41
Medium,No,1,4.5,34,Metropolitian,Fog,1,scooter,19
High,No,1,4.4,36,Metropolitian,Cloudy,2,electric_scooter,38
Medium,No,1,4.7,23,Urban,Cloudy,1,motorcycle,31
Medium,No,0,4.9,38,Metropolitian,Fog,2,electric_scooter,17
Medium,No,1,4.9,21,Metropolitian,Cloudy,2,motorcycle,27
Jam,No,1,4.9,26,Metropolitian,Stormy,2,scooter,27
Jam,No,0,5.0,22,Metropolitian,Sunny,0,motorcycle,34
Jam,No,1,4.9,39,Metropolitian,Cloudy,0,motorcycle,25
Medium,No,1,4.6,21,Metropolitian,Sandstorms,0,motorcycle,28
Medium,No,0,4.6,31,Metropolitian,Cloudy,1,scooter,19
Low,No,1,4.7,37,Metropolitian,Stormy,1,motorcycle,26
Jam,Yes,1,4.5,35,Metropolitian,Cloudy,0,motorcycle,44
Medium,No,1,4.8,28,Metropolitian,Fog,0,motorcycle,40
Medium,No,0,4.2,30,Metropolitian,Sandstorms,1,scooter,33
Low,No,1,4.9,33,Metropolitian,Sandstorms,2,scooter,27
Low,No,0,4.6,22,Urban,Cloudy,2,motorcycle,10
Low,No,0,4.7,33,Metropolitian,Sunny,2,scooter,14
Medium,No,0,4.6,22,Urban,Stormy,0,motorcycle,15
Low,No,1,3.4,26,Metropolitian,Sunny,2,motorcycle,36
High,No,1,5.0,21,Metropolitian,Fog,1,scooter,24
Medium,Yes,1,4.1,31,Metropolitian,Stormy,0,motorcycle,46
Low,No,1,4.7,36,Metropolitian,Windy,1,scooter,26
Low,No,0,4.6,29,Urban,Cloudy,1,motorcycle,17
Jam,No,1,4.2,39,Urban,Sunny,0,motorcycle,42
Low,No,1,4.6,35,Metropolitian,Stormy,2,scooter,24
Low,No,1,2.8,24,Metropolitian,Sunny,2,scooter,42
Low,No,0,4.7,31,Metropolitian,Sunny,2,motorcycle,11
Low,No,1,4.8,39,Urban,Stormy,0,motorcycle,21
Low,No,0,4.9,36,Urban,Fog,2,scooter,15
Medium,No,1,4.7,20,Metropolitian,Sandstorms,0,motorcycle,27
Medium,No,1,4.3,38,Metropolitian,Sandstorms,0,motorcycle,32
High,No,1,4.7,32,Urban,Sunny,2,scooter,16
Jam,No,1,4.3,21,Metropolitian,Fog,1,motorcycle,44
Jam,No,0,4.7,22,Metropolitian,Sunny,0,motorcycle,24
